;primcmnum;subcmnum;text;username
12;7;0;@Vielleicht stimmt das sogar, vielleicht haben die Demokratieverteidiger tatsächlich Anlass zum Kämpfen. die hätten 2015 kämpfen sollen , als Frau Merkel im Alleingang die Grenzen öffnete ohne das Parlament zu fragen , egal wie man dazu steht , dafür oder dagegen , ich hätte nie gedacht  das ein Kanzler / in so eine Entscheidung trifft und die Abgordneten zuschauen .;LABIENUS
13;7;1;Zum 500. mal, die Grenzen wurden nicht geöffnet -sie waren offen-, sondern sie wurden eben nicht geschlossen. Das ist ein Unterschied.;blackbelt
14;8;0;Wir haben in Deutschland verpasst, weitgehend innovative Wirtschaftspolitik zu machen, die uns langfristig eine Perspektive der Wertschöpfung geben, ergänzt durch die Krise der Automobilbranche. Die Mißstände der Agenda 2010 in den sozialen Ungerechtigkeiten wurden durch Merkel nie korrigiert. Die Regierung Merkel hatt - das ist meine Meinung - das lang in seiner Meinung darüber gespalten, vor der Krise war die AFD bei ein paar Prozent. Ein sehr hoher gesellschaftlicher Preis  Die linksliberalen Eliten, hierzu zähle ich insbesondere dieses medium sitzen noch immer in ihrer Blase und fördern zunehmend eine Polarisiserung nach rechts. Nichts, aber auch nichts wird an diesen Entwicklungen korrigiert unter der jetzigen regierung, das ist zumindest meine Einschätzung.;Aufgeschwollenes Wurstgesicht
15;8;1;"Is klar, ""linksliberale Eliten"", Regierungshass, Agenda-2010-Angeprangere, aber AfD-Verehrung.  Sie machen's einem schön leicht. Und das schlechte Gewissen der Rechtswählenden lässt sich nicht durch Schuldverlagerung auf die anderen lösen. Was für eine weinerliche Schuldverschiebung. Mit eurem schlechten Gewissen, eine neo-faschismus-befördernde, Arme-Leute-feindliche Partei zu wählen, müsst ihr schon selbst leben - und mit den Folgen eurer Verehrung auch.";U. Witt
16;9;0;Neue Parteien entstehen wenn die Politik Probleme nicht lösen kann oder will. Das war bei der SPD so und auch bei den Grünen. Jetzt eben bei der AfD. Ein ganz normaler demokratischer Vorgang.;Referatsleiter
17;9;1;Aber im Gegensatz zu den Grünen, ist die AfD nicht neu. Die AfD ist eine NPD ohne offensichtliche Neonazis, während es vor den Grünen keine Partei gab, die mit ihnen verglichen werden konnte.;TGfkaTRichter
18;10;0;Demokratie ist die Regierungsform, der es auf legalem Weg gelingt, ihre Gegner an die Macht zu bringen, die sie dann sehr schnell beseitigen: vergangene und gegenwärtige Beispiele sollten bekannt sein. Dass die Grünen in der Bundesrepublik erfolgreich waren, lässt sich darauf zurückführen, dass Gelbe, Schwarze und Rote diese Farbe für sich entdeckten, während das Ursprungs-Grün im Polit-Alltag doch sehr verblasste . . .;Karl Josef Schleidweiler
19;11;0;"""Daran perlen auch die Aufklärungsbemühungen der liberalen Publizistik ab."" Diese Publizistik, die sich selbst liberal dünkt, muss sich zunächst einmal selbst aufklären und den selbstgerechten Anspruch aufgeben, im alleinigen Besitz der Wahrheit zu sein.";Offene Gesellschaft
20;11;1;Der von Ihnen zitierte Satz im ext ist wirklich unglaublich, das muss man sich zweimal durchlesen um diesen ideologisch überheblichen Anspruch emotional zu fassen, welche Denke dahinter steht. Und das nun seit 2015, seit knapp drei Jahren. Ein Wahnsinn, aber dieses medium ist mittlerweile ein Musterbeispiel dafür.;Aufgeschwollenes Wurstgesicht
21;12;0;"Wenn ich den Kommentar geschrieben hätte, wäre er gelöscht worden. ""Gelöscht: Bitte bleiben Sie sachlich.""";Die Antwort ist_42
22;13;0;Die angesprochene Generation, die derzeit die Debatten diktiert, ist ein wirkliches Problem für Deutschland. Uneinsichtig, von der eigenen weltfremden Ideologie überzeugt, nimmt eine einflussreiche Minderheit die Gesamtbevölkerung als Geisel. Sei es beim Thema Zuwanderung, oder dem Gender-Wahn.;Aljoša
23;13;1;Deutschland bräuchte jemanden wie Salvini, der voran geht und den Menschen die Angst nimmt für ihre Interessen einzustehen. In Deutschland ducken sich die Menschen dann schon lieber weg, um nicht als gebrandmarkt zu werden. Wo das noch Demokratie sein soll, wäre dabei die nächste Frage. Eine Klima von Angst und Ächtung wurde erschaffen.;Aljoša
24;14;0;"Köstlich: ""Es gab auch Warnungen. Der Prozess setzte nicht erst 2015 mit Merkels Flüchtlingspolitik ein. Griechenlandhilfen und Euro-Stabilisierung hatten den Unzeitgemäßen bereits Anlässe geliefert, sich zu Wort zu melden und eine Alternative für Deutschland zu fordern."" Nur das Wort Unzeitgemäßen würde ich durch Fortschrittlichen ersetzen.";wd
25;14;1;"Eher: ""Ewiggestrigen"". Mit Ideen aus den 30er Jahren des 20. Jahrhunderts kann man wirklich nicht ankommen und das dann ""fortschrittlich"" nennen wollen.";U. Witt
26;15;0;"""Alle diskutieren über die Verteidigung der Demokratie. Steckt dahinter ein Kampf der neuen, grünen, progressiven Mittelschichten gegen die Modernisierungsverlierer?"" Sind da etwa die ""progressiven Mittelschichten"" gemeint, die von der Öffentlichen Hand bezahlt werden und mit ihrem Ideenreichtum das Land beglücken möchten? Die grüne Klientel speist sich doch wohl weniger aus dem Heer der privatwirtschaftlich Malochenden, seien es Ingenieure oder Arbeiter.";GustavStruve
27;15;1;Das grüne Klientel ist eher wohlhabend und wohlhabende profitieren immer von anderen, weniger Wohlhabenden, das ist normal und betrifft andere Parteien, wie z. B. die FDP noch viel mehr.;TGfkaTRichter
28;16;0;Im Gegensatz zu früher wird die Meinungsführerschaft nicht mehr von den Leistungsträgern ausgeübt.;Bourbaki86
29;16;1;"Boah, haben Sie noch mehr dieser rechtsaußenpropagandistischen Brüller auf Lager? ""Leistungsträger"" = AfD-Wähler? Dass ich nicht lache. Schauen Sie sich mal Statistiken an.  Btw.: Grünen-Wähler sind mit die höchsten Steuerzahler in D. Na sowas.";U. Witt
30;17;0;Es kommt immer auf die Sicht der Dinge an. Ich glaube, vielen der jüngeren Generation wird jetzt erst bewusst, dass unser Gesellschaftssystem nicht unumstößlich ist. Als junger Mensch nimmt man es meistens als selbstverständlich an, dass das Leben so ist, wie es nun einmal ist. Doch muss man sich fragen, ist es der stete Wandel vielleicht der Lauf der Dinge ? Müssen sich Dinge ändern? Aber wohin werden wir gehen? Das ist wohl eine Frage, die sich viele stellen.;Lavendelzweig
31;17;1;@ #16 / Lavendelzweig zitat: «Aber wohin werden wir gehen?» und wohin sollen wir gehen. ihrer meinung nach.;think-different
32;18;0;Bin Geringverdiener und ein sogenannter Globalisierungsverlierer. Da ist die mit der Zeit eher Stimmung eher suboptimal. Kinder kriegen? Das will ich denen bei dieser finanzieller Lage nicht antun. Was mich manchmal selbst erschreckt zu was man dann auf Gedanken mit der Zeit kommt. Drum kann ich auch nicht Trump hassen wie es mir mein Kopf und mein Verstand sagt, dass ich's tun sollte. Denn der kümmert sich wenigstens um jene, die sonst nicht gehört werden. Mehr möchte man eigentlich nicht. Aber wenn die Politik eine ganze Schicht aufgibt läuft die halt wie im Rust Belt Amok. Und Linksliberale akademische Gutverdiener heulen dann rum...... Schaut auf uns Leuten vom Prekariat, oder wir werden die Stimmen sein, die mit Bullys wie dem Irren aus den USA eure Welt zerstören werden. So wie ihr unsere Welt zerstört habt ohne das ihr das gemerkt habt. Es ist einfach viel Schmerz. Grüsse vom unteren Rand der Gesellschaft.;Pereos
33;18;1;Komisch, dass solche Tragödien immer am Anfang demokratischer Herrschaft in den USA stehen. Nie am Ende.;sturz und krache
34;19;0;"Ich finde es ganz schön frech, von den da unten zu sprechen.  Linke Arroganz als Zeichen der Zeit.  ""Der Staat nahm sich der grünen Erzählungen als Wahrheitsagentur an und positionierte sich auch als kultureller Modernisierer. "" Für dieses Projekt gab es nie eine Mehrheit. Die Grünen waren niemals stärkste Kraft, hatten lediglich den größten Erpressungsfaktor, weil sie faktisch mit jedem ins Bett gehen, solange der ihren Forderungen nachgibt. So kam es zu der absurden Situation, dass die regelmäßig mit Abstand schwächste Regierungspartei immer deren Inhalte bestimmt und so die Bürger, die ganz anders gewählt hatten, von Politik entfremdet haben. Der heutige Zustand ist ein Ergebnis jahrzehntelangen Betruges der politischen Klasse und der Mißachtung des Wählerwillens.";Aber sicher
35;19;1;Wissen Sie was? Ich wünschte, Sie hätten recht - zumindest wenn wir von URgrünen Themen und URgrünem Selbstverständnis sprechen und nicht von dieser unsäglichen Besserwissertruppe, zu der diese Partei inzwischen geworden ist. Dann nämlich, ja dann wäre z. B. ein rigoroses Umdenken bzgl. etwa Massentierhaltung, Monokulturen etc. vielleicht Konsens. Dann würde ich diese Partei auch noch wählen, so wie ich es mein Leben lang getan habe, bis zur vorletzten BTW. Das ist aber wohl für alle Zeiten vorbei.;Tyler
36;20;0;Unterschied zwischen Deutschland und China ist - Deutschland will daβ China fehlgeschlagen und am besten zerfallen sein wird. Weil China sogenanter Systemkonkurent ist. Chinas Erfolg bedeutet Deutschlands Verlieren. - China ist Deutschlands Demokratie egal. Weil China weis wie erfolgreich Deutschlands Demokratie auch immer hat es keinen Einfluss auf Chinas System. Am besten wird Ds Demokratie erfolgreich, dann kann D mehr Chinas Produkte kaufen. Weil China weiss es ist nicht erlaubt daβ in der Welt nur Demokratie richtig ist. Das richtige System muss es sein das zu einem Staaten am besten passt, damit ein Staat schnell stark und reich wird.;MeinAnwalt
37;20;1;Irgendwie kann ich die Relevanz Ihres Kommentars zum Artikel nicht erkennen...;juliahamburg
38;21;0;Und wenn der wirkliche Kampf von oben, von Oligarchen in den Kohlenstoff-Investments liegt und diese in Vereinigung mit reaktionären politischen Kräften noch den letzten Tropen Zitronensaft aus der Unterschicht pressen wollen, bevor sie diese durch Einführung von KI-Fabriken sterben lassen wollen?  Ist denn der Kampf Reich gegen Arm bereits beendet? Er tobt seit 1990 und verkippte gerade zunehmend und mit dem Willen rechtstattlich sozialliberaler Kräfte supranationale Institutionen zu stärken. Könnte es auch so sein? Sieht es nicht auch so aus, dass aktuell ein paar Oligarchen um die definitive Macht kämpfen und alte Kräfte unterschiedlicher Ziele die Autokratie ausbauen?;Meander6
39;22;0;Die Grünen, saturierten Gewinner ihrer liberalen, globalisieren Weltordnung, sitzen in ihren schicken Eigentumswohnungen in den gentrifizierten Gegenden der Innenstädte in ihrer heilen Welt aus Bioladen Rapunzel, Kinderladen Rabaukenplotz und Steinerschule und schreiben ihre Verachtung über den Frust derjenigen, die früher in der Gegend gewohnt haben bis sie verdrängt wurde, die Verlierer der liberalen, globalisieren Weltordnung die diese Weltordnung daher irgendwie nicht so toll finden, ins Web.  Ich bin seit dem 24.9.2017 Nichtwähler, ich finde alle Parteien unwählbar. Aber die schlimmsten von alle, finde ich persönlich, sind wirklich die Grünen.;Daisy de Rath
40;22;1;Extrem pointiert, Daisy. Meine Empfehlung!;Tyler
41;23;0;"Vielen Dank für den in weiten Teilen zutreffenden Kommentar. die alte Mittelklasse, die sich noch daran erinnert, was ein Blaumann ist, und sich in einer gegenderten Sprache nicht ausdrücken kann. Sehr richtig!  Die ""Alte"" lehnt den Akademisierungswahn ab! Sie kann zwar gendern, lehnt aber diese Sprachverhunzung ab.";Carmen Geiss
42;24;0;Zieht man die Kommentatoren als Maßstab heran, bekomme ich das Gefühl, dass es nur um Langeweile geht.  Es ist öde, dass nie irgendwas passiert, alles immer abgesichert ist und wenn was passiert, dann immer nur woanders.  Ergo macht man sich den Ärger selbst um wenigstens irgendeine Erfüllung zu haben.;sturz und krache
43;25;0;Der Großteil der Bevölkerung kann mit Begriffen wie Demokratie und Freiheit wenig anfangen. Sie wird nicht genutzt . Die Demokratie heute ist zu einem Konsumartikel geworden der passiv benutzt wird. Verlangt die Situation nach Aktion versagt der Mensch.;Anna2081995
44;25;1;Da ist was dran. Vielleicht braucht Demokratie ein Preisschild.;sturz und krache
45;26;0;"Oder etwas kürzer ausgedrückt.  Die Neigung zu sogenannter ""werteorientierter"" Politik ist abhängig vom Lebensstandard. Es genügt eine latente Gefahr, ohne real zu den Verlieren zu gehören, um auch noch besser Situierte anfällig zu machen. Wenn alleine eine gute Ausbildung und ein gewisses Potential an Intelligenz darüber entscheidet, wer wie lebt, wird die reine Anstrengung eines ehemaligen Blaumann Arbeiters obsolet.  Wen nur noch die reine ""Nachfrage"" bestimmend wird, dann dauert es nicht mehr lange, bis... Auch noch künstlich gepusht durch Regularien, die bestimmte Eigenschaften eines Menschen jetzt anders bewertet.  Arbeitsam, bescheiden, zuverlässig macht jetzt kreativ, weltoffen und dynamisch Platz. Und das ist nichts anders als eine neue Ideologie. Die sich eine Gesellschaft glaubt, leisten zu können. Ob sie es auf Dauer kann, wird sich zeigen.";Schrek
46;26;1;"Arbeitsplätze, die mehr Intelligenz fordern, erfordern demnach keinerlei Anstrengung? Sprechen Sie hier wie ein Blinder von Farbe?  Ärzte, Lehrer, Ingenieure, Forscher etc. - neee, strengen sich null an. Nur der im Blaumann Tätige - der arbeitet wirklich"" Oh jemine. Und natürlich ist ausnahmslos jeder solche ""arbeitsam, bescheiden und zuverlässig"". Noch mehr Klischees auf Lager?";U. Witt
47;27;0;Selbst die AfD ist angreifbar, auch wenn sie sich in ihrem Programm tatsaechlich weitestgehend der Zukunft verschrieben hat, und gesellschaftliche Streomungen der Gegenwart so umfassend repraesentiert, wie es keine andere Partei tut. Von Frauenrechten bis Heimatverbundenheit, sozialer Gerechtigkeit und Demokratie ist alles dabei. Allerdings klafft eine weite Luecke im Umweltprogramm dieser Partei, Wer sich ansehen muss, wie AfD-Granden fuer die krebserregende Diesel-Technologie werben, der wird um den Brechreiz nicht umherkommen. So, wie sich die AfD fuer veraltete Technologien und die finanziellen Interessen einer mutmasslichen Verbrecherbande der deutschen Automafia stark macht, kann ich nur eines feststellen: Das ist moralisch schwer verwerflich, und die Bevoelkerung sollte darueber aufgeklaert warden. Wo bleiben die Gruenen?;Der liebe Wiesenfuchs
48;27;1;"""Selbst die AfD ist angreifbar, auch wenn sie sich in ihrem Programm tatsaechlich weitestgehend der Zukunft verschrieben hat"" Ihr Ernst?";Tyler
49;28;0;Modernisierungsverlierer... Pauschalisierungen werden ja hier eigentlich nicht gerne gesehen ? Inwiefern wird ein Land durch zunehmende Religiösität “moderner“? Modern ist nicht automatisch positiv.;AllemögenEinhörner
50;28;1;Böse, böse Ausländer ... Darauf wollten Sie doch hinaus. Und: Merkel ist schuld - wie immer. Bestimmt auch an der Hitze.;U. Witt
51;29;0;""" ... ein Kampf der neuen Mittelschichten gegen die Modernisierungsverlierer? "" Nein es muss ein ""Bildungskampf"" sein, ein Kampf der dumpfe Argumente im Stile eines Herrn Trump, der den besonderen  Wert der Demokratie herausstellt, mit der besonderen Prägung des deutschen Grundgesetzes, um das uns andere Länder beneiden. Das geht aber nur über Bildung, um die komplizierten Zusammenhänge in Wirtschaft, Politik und Gesellschaft  breiten Bevölkerujngsschichten zu vermitteln und diese dann ermuntern selbst aktiv zu werden.";Thür
52;30;0;Zuallererst einmal geht Demokratie sprachlich und moralisch gesittet. Zuallererst einmal muss es in einer Demokratie einen Mechanismus geben, der verschiedene Meinungen erst zulässt, dann untereinander diskutieren lässt, um schließlich zu einer Einigung zu kommen. Zuallererst einmal ist Demokratie auf einen Konsens ausgerichtet. Diese Punkte wurden allesamt zunächst von der AfD, dann zunehmend auch von anderen Politikern, besonders aber von der Bevölkerung erst ausgetrieben, dann ignoriert und nun zunehmend vergessen. Wer Demokratie verteidigen möchte, muss -- so meine Meinung -- also erstmal seine Sprache deeskalieren und von Beleidugungen, Hetze, Spaltung und Hass bereinigen, muss Mechanismen zur allgemeinen Willensbildung wieder zulassen und die Möglichkeit eines Kompromisses in Betracht ziehen. Wer -- so meine Meinung -- dies nicht tut, verteidigt nicht die Demokratie, sondern hasst sie und will sie zerstören. Und gilt es dehalb auch, bekämpft zu werden.;Gut-für-Deutschland
53;31;0;"Das Problem besteht ganz einfach darin, daß der Begriff ""Demokratie"" von interessierter Seite moralisch so überhöht worden ist, daß er fast gleichbedeutend mit richtigem Leben geworden ist, wobei sich einige Leute zutrauen, dieses richtige Leben besser zu verstehen als andere - und sich deshalb legitimiert glauben, es verordnen zu dürfen. In dieser Lage darf man daran erinnern, daß Demokratie zuvördest ein Verfahren zu Herstellung bindender politischer Entscheidungen auf Zeit gemäß des Mehrheitsprinzips ist. Wer unter Demokratie hingegen hoch moralisierte Werte versteht, muß sich fragen lassen, welchem Prinzip sie ihr Existenzrecht verdanken. Ihre Rückführung auf unmittelbare Einsicht (der Guten und Vernünftigen) ist undemokratisch, weil sie auf diese Weise der Abstimmung entzogen werden. Noch einmal: Die Demokratie ist keine Veranstaltung zur Verbesserung der Welt, sondern eine politische Technik gemäß der Regel ""one man, one vote"" - oder um es mit Winston Churchill zu sagen - die beste aller schlechten Staatsformen.";Transleithaner
54;32;0;Starke Analyse, die endlich mal für Diversität bei ZON sorgt. Danke!;Drahtseilakt
55;33;0;"Da ist wieder der blinde Fleck: Der Autor ist selbst nicht in der Lage, den Klassenkampf von oben, den wir die letzten 20 Jahre hatten, anders denn als ""erfolgreiche Modernisierungspolitik"" zu denken. Da ist es kein Wunder, wenn er dem rechten Phantasma auf den Leim geht, Identitätspolitik habe die Linke zerstört. Denn er verkennt die eigentliche Kausalität:  Zuerst war die Sozialpolitik weg. Dann der Widerstand gegen den Überwachungsstaat und der Pazifismus. Dann erst, nachdem drei von fünf klassisch linken Themen aus der Mitte des letzten Jahrhunderts weg waren, hat"" Identitätspolitik"" (nicht ohne Grund ein rechter Kampfbegriff) zum Füllen dieser Lücke an Bedeutung gewonnen. Stattdessen wird uns wieder einmal eine Version aufgetischt, in der es implizit umgekehrt gelaufen sei: Dass nämlich der böse Progressivismus den Linken das echte Linkssein ausgetrieben habe. Ich weiß, er meint es nicht so. Aber er muss es so denken, weil er der neoliberalen Sachzwanglogik aufgesessen ist und den wirtschaftlichen Erfolg, der auf den Schultern des Prekariats errungen wurde, nicht mehr als Ausbeutung sieht, sondern als alternativlose, naturgegebene Notwendigkeit. Weil er den fließenden Übergang in den Polizeistaat als normal wahrnimmt und den nicht endenden Krieg in Afghanistan überhaupt nicht mehr. Traurig. Vielleicht mal wieder Marx. Gramsci oder Adorno lesen statt Twitter. Es wäre höchste Zeit dafür.";Der freundliche Waran
56;33;1;Glauben Sie ernsthaft, bei einem Theoretiker des 19. Jahrhunderts, einem etwas konfusen Italiener oder gar bei dem in die Apokalypse verliebten Frankfurter irgendeinen Aufschluß über die aktuelle Lage zu finden?;Transleithaner
57;34;0;"Um als Modernisierungsverlierer zugeordnet zu werden, müsste man ja die Modernisierung (oder was der Autor darunter versteht) angestrebt haben. Die von der ""grünen Mitte"" repräsentierte Form von Modernität wird aber von deren Gegnern abgelehnt. Genau an diesem Punkt zündet die Spaltung der Gesellschaft.";Tigarik
58;35;0;"Zwar kann man den Text kritisieren, weil er den US-amerikanischen Begriff ""liberal"" einfach auf deutsche Verhältnisse ummünzt - in den USA steht ""liberal"" für den sozialdemokratischen Teil des Parteienspektrums, und so werden Grüne, SPD und CDU einfach unter ""liberal"" subsumiert und der Autor ist so der Notwendigkeit enthoben, dass Wörtchen ""links"" auch nur einmal zu gebrauchen, aber das ist wohl jetzt schlechter Usus bei der ""Zeit"". Positiv ist anzumerken, dass der Autor die Rolle der Medien klar umreißt: ""Daran perlen auch die Aufklärungsbemühungen der liberalen Publizistik ab. Die Selbstbeobachtung der Gesellschaft, die Allgemeinheit, die große bundesrepublikanische Supervisorin hat sich zu einer Seite im Gefecht entwickelt, ist selbst Partei geworden."" ""Die öffentliche Meinung exerziert die Agendaliste der mit den Grünen aufgewachsenen Generation, als sei jeder Einspruch dagegen Verrat an der Zukunft aller."" Ja, ""liberale"" moralisierende Einheitsmeinung allerorten. Stimmt.";Am_Rande
59;36;0;Wenn man beobachtet wie abgesättigt und abgestumpft der moderne Mensch geworden ist kann man die Leistung unserer Vorväter die für Freiheit und Demokratie gestorben bzw. ihr Leben riskiert haben nicht hoch genug einschätzen.;Anna2081995
60;37;0;Ziemlich gute Politik. Hatten wir in den 80zigern und neunziger Jahren. Mein Einkommen War damals wesentlich  höher. Man konnte ab Mitte der 90zigern zusehen, wie alles Die Bach runter ging. Alleine in Frankfurt sind bis dato mindestens 30 renommierte Grossfirmen  verschwunden.  Ersetzt durch Gewerbegebiet und Billigläden. Fragen Sie mal die Stadtkämmerer, wie die Gewerbesteuer gefallen sind.;Ludwigerhard
61;37;1;Und schuld ist wer? Die Grünen? Die Liberalen? Die Jugend von heute? Weil es IHNEN mal besser ging? Oh je.;U. Witt
62;38;0;Danke für diesen interessanten Denkanstoß!;Heuberg
63;39;0;"Es fällt mir schwer zu entscheiden, ob der Text ironisch oder tatsächlich so, wie er geschrieben ist, gemeint ist. Aktuell sehen wir den brutalen Einbruch der Realität in viele Lebenslügen der politisch-medialen Klasse. Irgendwann kann man sich nicht mehr darauf zurückziehen, daß den offensichtlich dämlichen Wählern die Politik nur nicht gut genug ""erklärt"" wurde, sondern man muß anerkennen, daß viele rot-grün-schwarze Lieblingsprojekte von einer erheblichen Zahl von Bürgern abgelehnt werden.";Maneki Neko
64;39;1;Die blau-braunen Lieblingsprojekte und Hassideale werden von noch wesentlich mehr Bürgern abgelehnt, trotz der Massenpropaganda.;U. Witt
65;40;0;"Oh boy, Feuilleton versucht politisch zu werden … reichlich spät und die ersten Schritte sind sehr wackelig. Der ganze Text ist dermassen verschwurbelt, dass er kaum zu verstehen und ertragen ist … nur der zentrale Topos: grün=etablierte Mitte und alles was neu ist ist grün, scheint überall durch. So falsch es ist. Da sind schon einige Passagen, da rollt es einem die Zehennägel hoch, z.B. die Verknüpfung von grüner Denke, Plattform-Ökonomie und Elite: ""der Förderung der grünen Technologien und der Plattform-Ökonomie wirkte aus der Sicht potenzieller Verlierer schon ziemlich elitär."" Muss man erstmal hinbekommen. Falsch ist Fortschritt und Demokratie mit Bildungsferne oder Armut zu kontrastieren. Wenn man die AfD und deren Anhänger analysiert ergibt sich ein anderes Bild: Fortschritt und Demokratie ist eine Frage der Sozialisation … in jeder Schicht, Sozi-ökonomischen Milieu … Dabei ist es doch ganz simpel, die Überschrift müsste schlicht lauten: ""Fortschrittlich gegen die da hinten"" Es gibt immer Zurückgebliebene und Zurückbleibenwollende. Royalisten in der Weimarer Republik z.B. oder Alt-Nazis in der Bonner Republik, oder Ostalgische in der Berliner Republik …";auchkreativ
66;41;0;Und zum Klassenkampf. Mich hat es immer gewurmt(ich kenne Bildungsschicht und Arbeiterschicht gleichermaßen), dass vom Bildungsbürgertum stets Belehrungen nach unten kamen, man solle doch weltoffen sein und sich keine Ängste einreden. Anscheinend fehlt manchen Menschen.die Vorstellungskraft, sich in einfache Arbeiter hineinzuversetzen. In einem anderen Artikel wurde gemutmaßt, dass, wenn unsere Wirtschaft nicht mehr so stark wäre, die Afd Zulauf bekäme. Wenn dem so wäre, würde das bedeuten, dass auch Bildungsbürger höchstwahrscheinlich  unter den Wählern wären.Ich vermute, wenn es um das eigene Geld ginge, wären viele nicht anders handeln als die unteren Schichten, über die sie sich erhaben fühlen.;Lavendelzweig
67;41;1;'Anscheinend fehlt manchen Menschen.die Vorstellungskraft, sich in einfache Arbeiter hineinzuversetzen.' Das ist der Punkt und man dürfte gespannt sein, wie diese neuen Mittelschichten sich beispielsweise zu  #mepoor  positionieren würden oder ob sie nur eine bürgerliche Verachtung raushängen lassen.;Blues Man
68;42;0;Wir praktizieren schon lange eine Elitendemokratie, dort gehören Wirtschaftsverlierer dazu, die bekommen eingeredet sie seien an ihrer Misere selbst dran Schuld, das Thema mangelnde Ausbildung zieht immer, ich sehe noch keine politische Partei die das Aufgreift und wie hier wieder oft die AFD als Alternative genannt wurde verkennt die Situation, wir sind von einer Richtungsänderung noch lange entfernt, es muss noch extremer kommen um das zu erreichen.;kinderhorto1
69;43;0;""" ....dass ihre die Gesellschaft modernisierenden Subziele den Charakter von ""Werten"" erhielten. (Selbstverständlich bedienen sich alle Parteien dieses Mechanismus der moralischen Überhöhung, er ist zum Standard geworden.)""  Und darin liegt ein wesentliches Problem: Dass Werte postuliert, aber nicht gelebt werden. Das gilt für  CDU, CSU, FDP, SPD, Grüne, Die Linke, AFD  Je bedrohter die eigene Existenz desto stärker wird diese Diskrepanz erfahren.";Simplicio
70;44;0;"Seit wann ist ein verantwortungsloses  ""Nach mir die Sintflut"" gepaart mit einem absolut undemokratischen "" Wer gegen mich ist, ist populistisch und radikal und gehoert die Stimme entzogen!""  progressiv? Das ist DDR rezessiv in Reinform. Wohl bekomms!";JohnHoss
71;44;1;"Weil die AfD tatsächlich populistisch und radikal ist. So einfach. Da brauchen Sie nicht die AfD-Polemik von ""wie in der DDR"" auffahren.";U. Witt
